variant,age,sex,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
migration_category,0,1,305081,292898.00100000005,294386.00600000005,295784.999,295230.992,294189.996,293510.985,293422,293561.003,293796.999,294110.98800000007,294674.9969999999,295568,296652.99999999994,297900.99799999996,299339.001,300973.99600000004,302680.001,304319.001,305837.998,307214.003,308250.007,308863.00399999996,309189.002,309257.002,309113.99999999994
migration_category,0,2,291308,278859.003,280279.99199999997,281660.99500000005,281135.994,280143.005,279495.995,279410.004,279541.005,279766.003,280063.01,280599,281450.006,282482.003,283670.004,285037.003,286594.996,288221.00299999997,289779.001,291226.00100000005,292534.995,293520.99999999994,294103.9929999999,294412.999,294479.99299999996,294343.00499999995
migration_category,1,1,303201,309600.00099999993,296739.98900000006,296474.99499999994,297512.003,296955.007,296007.001,295431.996,295383.997,295523.993,295762.997,296080.0040000001,296645.996,297541.006,298627.00200000004,299876.99799999996,301315.999,302950.9959999999,304657.997,306297.008,307816.993,309193.998,310231.005,310844.0060000001,311170.99900000007,311242.003
migration_category,1,2,289614,295141.003,282085.00099999993,281985.99899999995,283044.99500000005,282516.994,281613.9909999999,281067.00299999997,281019.00899999996,281154.001,281381.004,281680,282219.012,283071.996,284104.996,285292.999,286661.999,288220.001,289846.00200000004,291404.99899999995,292852.00299999997,294161.00200000004,295147.99299999996,295731.99999999994,296042.98899999994,296111.004
migration_category,2,1,314338,308907.00299999997,314404.0029999999,299335.003,298606.99199999997,299634.00100000005,299202.995,298397.99700000003,297876.005,297828.996,297969.01,298208.994,298526.9970000001,299094.99999999994,299987.98799999995,301074.994,302325.006,303763.99400000006,305398.99799999996,307105.99399999995,308743.00099999993,310261.997,311641.004,312677.997,313288.999,313619.002
migration_category,2,2,300486,294619.006,299344.99899999995,284336.00800000003,283825.012,284874.99500000005,284461.0019999999,283688.9970000001,283191.01,283144,283280.001,283508.00100000005,283807.99700000003,284347.999,285199.99999999994,286233.998,287421.00200000004,288790.007,290348.99600000004,291972.9930000001,293533.006,294978.004,296288,297276.00000000006,297858.994,298170.99999999994
migration_category,3,1,320870,318886.009,312525.002,316033.998,300506.996,299769.002,300963.00299999997,300725.00600000005,299990.001,299468.007,299422.99899999995,299564.003,299805.0090000001,300123.004,300691.00000000006,301583.0040000001,302670.00399999996,303920.993,305359.006,306993.99900000007,308699.008,310336.00299999997,311856.002,313233.9910000001,314270.00499999995,314881.9939999999
migration_category,3,2,305485,304576.00499999995,297884.001,300830.00100000005,285412.994,284891.99100000004,286091.00099999993,285846.997,285135.99799999996,284640.00000000006,284591.993,284730.996,284958.00500000006,285259.99600000004,285798.007,286650.99400000006,287683.99,288873,290241,291798.007,293422.0040000001,294980.999,296426.988,297737.005,298724.99299999996,299307.99700000003
migration_category,4,1,324786,325046.011,322116.01199999993,313843,316889.0019999999,301349.998,300800.999,302204.989,302043.99199999997,301309.006,300788.99500000005,300745.001,300885.99600000004,301127.004,301444.99499999994,302013.00599999994,302903.99600000004,303992.99499999994,305244.007,306680.99499999994,308313.9980000001,310019.999,311656.00500000006,313173.99799999996,314552.00600000005,315588.997
migration_category,4,2,310206,309213.001,307462.99700000003,299064.008,301599.003,286171.00099999993,285816.999,287201.99400000006,287024.994,286314.9910000001,285820.009,285773.00200000004,285911.99700000003,286139.997,286442.002,286979.999,287833.00500000006,288866.99,290055.9980000001,291423.00000000006,292978.99999999994,294601.994,296160.99499999994,297605.99700000003,298917.01300000004,299906.001
migration_category,5,1,332687,328782.998,328121.007,323352,314636.00700000004,317664.0019999999,302311.9919999999,301972,303451.998,303291.997,302558.00200000004,302039.011,301994.00299999997,302136.012,302378.006,302696.00000000006,303263.004,304154.99000000005,305244.997,306494.001,307931.0020000001,309565.0060000001,311270.0060000001,312904.999,314422.99199999997,315801.00099999993
migration_category,5,2,318012,313787.995,311979.993,308589.003,299796.9980000001,302318.998,287052.9989999999,286881.99400000006,288333.007,288156.99600000004,287446.99799999996,286952.00499999995,286907.004,287045.998,287273.00899999996,287575.99100000004,288115.00399999996,288966.99799999996,290001.999,291189.992,292555.9870000001,294112.99,295735.00700000004,297294.005,298738.006,300049.0040000001
migration_category,6,1,342680,336578.0049999999,331788.99700000003,329349.00500000006,324151.99,315422.996,318625.0039999999,303472.999,303206.99400000006,304689.99999999994,304530.009,303797,303277.999,303233.998,303376.011,303618.00000000006,303935.99600000004,304504.01,305395.99999999994,306484.996,307734.007,309170.002,310804,312508.00299999997,314143.99299999996,315661.00299999997
migration_category,6,2,326420,321388.00299999997,316399.001,313051.00299999997,309289.00100000005,300487.99700000003,303159.99199999997,288064.99,287958.008,289410.00299999997,289233.995,288525.00800000003,288031.002,287985.997,288124.99499999994,288353.0069999999,288656,289195.99600000004,290045.99899999995,291082.005,292268.998,293636,295192,296814.00499999995,298372.008,299815.99
