activity_type,mitigators_type,strategy,strategy_name,mitigator_code
aae,activity_avoidance,discharged_no_treatment_adult_ambulance,"A&E Discharged No Investigation or Treatment (Adult, Ambulance Conveyed)",AE-AA-001
aae,activity_avoidance,discharged_no_treatment_adult_walk-in,"A&E Discharged No Investigation or Treatment (Adult, Walk-in)",AE-AA-002
aae,activity_avoidance,discharged_no_treatment_child_ambulance,"A&E Discharged No Investigation or Treatment (Children, Ambulance Conveyed)",AE-AA-003
aae,activity_avoidance,discharged_no_treatment_child_walk-in,"A&E Discharged No Investigation or Treatment (Children, Walk-in)",AE-AA-004
aae,activity_avoidance,frequent_attenders_adult_ambulance,"A&E Frequent Attenders (Adult, Ambulance Conveyed)",AE-AA-005
aae,activity_avoidance,frequent_attenders_adult_walk-in,"A&E Frequent Attenders (Adult, Walk-in)",AE-AA-006
aae,activity_avoidance,frequent_attenders_child_ambulance,"A&E Frequent Attenders (Children, Ambulance Conveyed)",AE-AA-007
aae,activity_avoidance,frequent_attenders_child_walk-in,"A&E Frequent Attenders (Children, Walk-in)",AE-AA-008
aae,activity_avoidance,left_before_seen_adult_ambulance,"A&E Patients Left Before Being Treated (Adult, Ambulance Conveyed)",AE-AA-009
aae,activity_avoidance,left_before_seen_adult_walk-in,"A&E Patients Left Before Being Treated (Adult, Walk-in)",AE-AA-010
aae,activity_avoidance,left_before_seen_child_ambulance,"A&E Patients Left Before Being Treated (Children, Ambulance Conveyed)",AE-AA-011
aae,activity_avoidance,left_before_seen_child_walk-in,"A&E Patients Left Before Being Treated (Children, Walk-in)",AE-AA-012
aae,activity_avoidance,low_cost_discharged_adult_ambulance,"A&E Low Cost Discharged Attendances (Adult, Ambulance Conveyed)",AE-AA-013
aae,activity_avoidance,low_cost_discharged_adult_walk-in,"A&E Low Cost Discharged Attendances (Adult, Walk-in)",AE-AA-014
aae,activity_avoidance,low_cost_discharged_child_ambulance,"A&E Low Cost Discharged Attendances (Children, Ambulance Conveyed)",AE-AA-015
aae,activity_avoidance,low_cost_discharged_child_walk-in,"A&E Low Cost Discharged Attendances (Children, Walk-in)",AE-AA-016
ip,activity_avoidance,alcohol_partially_attributable_acute,Alcohol Related Admissions (Acute Conditions - Partially Attributable),IP-AA-001
ip,activity_avoidance,alcohol_partially_attributable_chronic,Alcohol Related Admissions (Chronic Conditions - Partially Attributable),IP-AA-002
ip,activity_avoidance,alcohol_wholly_attributable,Alcohol Related Admissions (Wholly Attributable),IP-AA-003
ip,activity_avoidance,ambulatory_care_conditions_acute,Ambulatory Care Sensitive Admissions (Acute Conditions),IP-AA-004
ip,activity_avoidance,ambulatory_care_conditions_chronic,Ambulatory Care Sensitive Admissions (Chronic Conditions),IP-AA-005
ip,activity_avoidance,ambulatory_care_conditions_vaccine_preventable,Ambulatory Care Sensitive Admissions (Vaccine Preventable),IP-AA-006
ip,activity_avoidance,cancelled_operations,Cancelled Operations,IP-AA-007
ip,activity_avoidance,eol_care_2_days,End of Life Care Admissions (died within 2 days),IP-AA-008
ip,activity_avoidance,eol_care_3_to_14_days,End of Life Care Admissions (died within 3-14 days),IP-AA-009
